update,env_steps,train_return_mean,train_return_std,policy_loss,entropy,entropy_beta,value_loss,baseline_value,eval_return_mean,eval_return_std
0,180,18.0,6.371812928829597,-0.9016737937927246,0.6916547417640686,0.0,0.0,18.0,40.3,17.315022379425333
1,468,28.8,20.163333057805698,-0.25095704197883606,0.6909112930297852,0.0,0.0,23.4,nan,nan
2,751,28.3,13.491108182799515,-0.6188538670539856,0.6897984743118286,0.0,0.0,25.033333333333335,nan,nan
3,1069,31.8,18.280043763623762,-0.46266284584999084,0.6891704797744751,0.0,0.0,26.725,nan,nan
4,1302,23.3,6.783067152844648,-1.3431673049926758,0.6892699003219604,0.0,0.0,26.04,nan,nan
5,1539,23.7,8.74128137060008,-1.1242713928222656,0.6860208511352539,0.0,0.0,25.65,46.1,14.74754216810381
6,1793,25.4,15.621779668142809,-0.6003260612487793,0.6879277229309082,0.0,0.0,25.614285714285714,nan,nan
7,2028,23.5,12.151131634543344,-0.8277610540390015,0.6875460743904114,0.0,0.0,25.35,nan,nan
8,2324,29.6,18.472682533947257,-0.4280073344707489,0.6861883401870728,0.0,0.0,25.822222222222223,nan,nan
9,2621,29.7,36.98391542278886,0.01283746026456356,0.6843760013580322,0.0,0.0,26.21,nan,nan
10,2858,23.7,9.508417323613852,-1.0830247402191162,0.6838175058364868,0.0,0.0,25.98181818181818,47.7,17.017931719218996
11,3165,30.7,18.894708253900085,-0.4394970238208771,0.6842390894889832,0.0,0.0,26.375,nan,nan
12,3429,26.4,15.147276983009188,-0.6247417330741882,0.684220552444458,0.0,0.0,26.376923076923077,nan,nan
13,3825,39.6,17.124251808473268,-0.38369694352149963,0.6842682361602783,0.0,0.0,27.321428571428573,nan,nan
14,4130,30.5,24.86463351831271,-0.2860862612724304,0.6829971075057983,0.0,0.0,27.533333333333335,nan,nan
15,4527,39.7,26.41230773711377,-0.21714678406715393,0.6782101988792419,0.0,0.0,28.29375,52.9,19.060167890131503
16,4740,21.3,7.798076685952761,-1.5202877521514893,0.6772602796554565,0.0,0.0,27.88235294117647,nan,nan
17,5042,30.2,21.14142852316276,-0.44978949427604675,0.6780688166618347,0.0,0.0,28.011111111111113,nan,nan
18,5269,22.7,6.2136945531623935,-1.611958384513855,0.6745427846908569,0.0,0.0,27.731578947368423,nan,nan
19,5558,28.9,10.830050784737807,-0.9162420034408569,0.6763498783111572,0.0,0.0,27.79,nan,nan
20,5781,22.3,9.737042672187485,-1.2678344249725342,0.6708646416664124,0.0,0.0,27.52857142857143,76.7,56.50672526345869
21,6117,33.6,11.074294559925702,-0.7375994324684143,0.6804959177970886,0.0,0.0,27.804545454545455,nan,nan
22,6456,33.9,17.420964382031208,-0.5111610889434814,0.6760315299034119,0.0,0.0,28.069565217391304,nan,nan
23,6729,27.3,13.842326394071193,-0.8002504110336304,0.6763184666633606,0.0,0.0,28.0375,nan,nan
24,7033,30.4,21.99181665983963,-0.4041830599308014,0.6681239604949951,0.0,0.0,28.132,nan,nan
25,7332,29.9,18.19038207405221,-0.5557461977005005,0.6697897911071777,0.0,0.0,28.2,65.7,33.62751849304376
26,7655,32.3,16.217583050504164,-0.6233498454093933,0.6718207001686096,0.0,0.0,28.35185185185185,nan,nan
27,7973,31.8,12.33531515608742,-0.7657582759857178,0.6702662706375122,0.0,0.0,28.475,nan,nan
28,8446,47.3,24.839685988353395,-0.18700313568115234,0.673847496509552,0.0,0.0,29.124137931034483,nan,nan
29,8779,33.3,14.457178147895943,-0.6851073503494263,0.6697800159454346,0.0,0.0,29.263333333333332,nan,nan
30,9230,45.1,15.417198189035515,-0.43911340832710266,0.6594547033309937,0.0,0.0,29.774193548387096,62.7,32.43470363669137
31,9564,33.4,11.029052543169788,-0.8761885166168213,0.6692134737968445,0.0,0.0,29.8875,nan,nan
32,9929,36.5,17.488567694353932,-0.5825449228286743,0.6660745739936829,0.0,0.0,30.087878787878786,nan,nan
33,10204,27.5,10.865081684000355,-1.063762903213501,0.6573997735977173,0.0,0.0,30.011764705882353,nan,nan
34,10497,29.3,13.733535597216035,-0.9545649290084839,0.6527172327041626,0.0,0.0,29.99142857142857,nan,nan
35,10775,27.8,16.110865898517066,-0.8006576299667358,0.6501607298851013,0.0,0.0,29.930555555555557,53.2,16.110865898517062
36,11174,39.9,16.68202625582396,-0.524447500705719,0.666076123714447,0.0,0.0,30.2,nan,nan
37,11524,35.0,13.949910393977447,-0.7040084600448608,0.6633830070495605,0.0,0.0,30.326315789473686,nan,nan
38,11954,43.0,18.841443681416774,-0.45034825801849365,0.6607940196990967,0.0,0.0,30.651282051282053,nan,nan
39,12386,43.2,25.670216204777084,-0.2817729413509369,0.6607194542884827,0.0,0.0,30.965,nan,nan
40,12810,42.4,16.451139778143034,-0.5246792435646057,0.655914306640625,0.0,0.0,31.24390243902439,52.2,12.375782803523986
41,13214,40.4,19.168724527208376,-0.49882975220680237,0.6555729508399963,0.0,0.0,31.461904761904762,nan,nan
42,13546,33.2,14.558846108122717,-0.7769900560379028,0.6573190093040466,0.0,0.0,31.50232558139535,nan,nan
43,14062,51.6,24.491631223746612,-0.27093061804771423,0.6593914031982422,0.0,0.0,31.95909090909091,nan,nan
44,14436,37.4,21.978170988505845,-0.509208083152771,0.6531243324279785,0.0,0.0,32.08,nan,nan
45,14891,45.5,29.62853354454115,-0.2574022710323334,0.6594678163528442,0.0,0.0,32.37173913043478,60.9,16.10869330516911
46,15252,36.1,21.040199618824914,-0.5754321813583374,0.6433777809143066,0.0,0.0,32.45106382978724,nan,nan
47,15829,57.7,31.59762649314027,-0.13587158918380737,0.6544153690338135,0.0,0.0,32.97708333333333,nan,nan
48,16374,54.5,26.435771220072244,-0.25306063890457153,0.6597984433174133,0.0,0.0,33.416326530612245,nan,nan
49,16763,38.9,18.92854986521683,-0.6207267642021179,0.6519840359687805,0.0,0.0,33.526,nan,nan
50,17152,38.9,12.879829191413993,-0.8537078499794006,0.6513601541519165,0.0,0.0,33.63137254901961,80.3,32.0844198950207
51,17516,36.4,18.56448221739567,-0.750216543674469,0.6500219106674194,0.0,0.0,33.684615384615384,nan,nan
52,18000,48.4,24.78386571945547,-0.3733973801136017,0.6561374068260193,0.0,0.0,33.9622641509434,nan,nan
53,18410,41.0,24.95996794869737,-0.460941880941391,0.6511980891227722,0.0,0.0,34.092592592592595,nan,nan
54,18788,37.8,20.06888138387389,-0.6623902320861816,0.6393851041793823,0.0,0.0,34.16,nan,nan
55,19210,42.2,18.35102176991788,-0.6384725570678711,0.649162232875824,0.0,0.0,34.30357142857143,105.0,46.04128582044598
56,19627,41.7,17.041420128616043,-0.6596748232841492,0.6549540758132935,0.0,0.0,34.43333333333333,nan,nan
