update,env_steps,train_return_mean,train_return_std,policy_loss,entropy,entropy_beta,value_loss,baseline_value,eval_return_mean,eval_return_std
0,311,31.1,19.33623541437164,-0.0032533619087189436,0.6925085783004761,0.01,527.2129516601562,nan,60.6,18.122913673027305
1,540,22.9,11.00409014866745,-0.009938996285200119,0.6917594075202942,0.009928057553956834,248.72152709960938,nan,nan,nan
2,760,22.0,9.284395510748128,-0.01082660537213087,0.6912928223609924,0.00985611510791367,212.18759155273438,nan,nan,nan
3,1015,25.5,12.273956167430288,-0.013668160885572433,0.6906323432922363,0.009784172661870504,298.7300720214844,nan,nan,nan
4,1258,24.3,10.469479452198184,-0.00665411539375782,0.6899635195732117,0.00971223021582734,244.6234893798828,nan,nan,nan
5,1568,31.0,21.51278689523977,-0.008453059941530228,0.6896739602088928,0.009640287769784173,566.4122314453125,nan,84.2,19.625493624365223
6,1757,18.9,7.354590403278758,-0.0048048170283436775,0.6875444650650024,0.009568345323741007,149.1894073486328,nan,nan,nan
7,1969,21.2,7.909487973314076,-0.013040001504123211,0.6875544190406799,0.009496402877697842,171.1336212158203,nan,nan,nan
8,2272,30.3,13.274411474713295,-0.007623875513672829,0.6880369782447815,0.009424460431654676,354.0174865722656,nan,nan,nan
9,2583,31.1,21.073443002983637,-0.01040800753980875,0.687009871006012,0.00935251798561151,555.78759765625,nan,nan,nan
10,2847,26.4,7.445804187594514,-0.010003037750720978,0.6857178211212158,0.009280575539568346,221.35903930664062,nan,68.3,15.849605673328279
11,3080,23.3,10.99136024339117,-0.010863753035664558,0.683417022228241,0.00920863309352518,232.53147888183594,nan,nan,nan
12,3484,40.4,32.178253526255894,-0.009073282591998577,0.6846678256988525,0.009136690647482015,962.43408203125,nan,nan,nan
13,3792,30.8,16.624078921853084,-0.01369969267398119,0.6836899518966675,0.00906474820143885,415.6325988769531,nan,nan,nan
14,4120,32.8,26.524705464905733,-0.00613312516361475,0.6806479096412659,0.008992805755395683,708.0745239257812,nan,nan,nan
15,4357,23.7,12.609916732476865,-0.01321698259562254,0.6763883233070374,0.008920863309352519,258.92633056640625,nan,66.3,13.856767299770894
16,4689,33.2,17.993332098307974,-0.007965023629367352,0.6804758310317993,0.008848920863309353,457.3167419433594,nan,nan,nan
17,5007,31.8,20.08382433701311,-0.005529243033379316,0.6786926984786987,0.008776978417266188,494.22601318359375,nan,nan,nan
18,5258,25.1,6.685057965343307,-0.01426356565207243,0.6750386357307434,0.008705035971223022,179.99093627929688,nan,nan,nan
19,5607,34.9,25.045758123881974,-0.010608259588479996,0.6764262914657593,0.008633093525179856,652.088623046875,nan,nan,nan
20,5954,34.7,19.539959058298972,-0.007720981724560261,0.6784362196922302,0.008561151079136691,505.71875,nan,62.2,20.158372950216
21,6187,23.3,9.59218431849597,-0.03372985124588013,0.666901707649231,0.008489208633093525,191.78363037109375,nan,nan,nan
