update,env_steps,train_return_mean,train_return_std,policy_loss,entropy,entropy_beta,value_loss,baseline_value,eval_return_mean,eval_return_std
0,311,31.1,19.33623541437164,-0.0032533619087189436,0.6925085783004761,0.0,527.2129516601562,nan,60.6,18.122913673027305
1,540,22.9,11.00409014866745,-0.009944730438292027,0.6917577981948853,0.0,248.72152709960938,nan,nan,nan
2,760,22.0,9.284395510748128,-0.010830766521394253,0.6912910342216492,0.0,212.18759155273438,nan,nan,nan
3,1015,25.5,12.273956167430288,-0.013673781417310238,0.6906304955482483,0.0,298.7300720214844,nan,nan,nan
4,1258,24.3,10.469479452198184,-0.0066610584035515785,0.6899611353874207,0.0,244.6234893798828,nan,nan,nan
5,1568,31.0,21.51278689523977,-0.00845776405185461,0.6896705627441406,0.0,566.4122314453125,nan,84.2,19.625493624365223
6,1757,18.9,7.354590403278758,-0.004809778183698654,0.6875385046005249,0.0,149.1894073486328,nan,nan,nan
7,1969,21.2,7.909487973314076,-0.013049191795289516,0.6875481009483337,0.0,171.1336212158203,nan,nan,nan
8,2272,30.3,13.274411474713295,-0.0076322234235703945,0.6880287528038025,0.0,354.0174865722656,nan,nan,nan
9,2583,31.1,21.073443002983637,-0.010419167578220367,0.687000036239624,0.0,555.78759765625,nan,nan,nan
10,2847,26.4,7.445804187594514,-0.010014473460614681,0.6857048869132996,0.0,221.35903930664062,nan,68.3,15.849605673328279
11,3080,23.3,10.99136024339117,-0.010879836045205593,0.6833983063697815,0.0,232.53147888183594,nan,nan,nan
12,3484,40.4,32.178253526255894,-0.009085741825401783,0.6846480965614319,0.0,962.43408203125,nan,nan,nan
13,3792,30.8,16.624078921853084,-0.013720070943236351,0.6836684346199036,0.0,415.6325988769531,nan,nan,nan
14,4120,32.8,26.524705464905733,-0.006151155568659306,0.6806139349937439,0.0,708.0745239257812,nan,nan,nan
15,4357,23.7,12.609916732476865,-0.013246775604784489,0.6763436794281006,0.0,258.92633056640625,nan,66.3,13.856767299770894
16,4689,33.2,17.993332098307974,-0.00798424705862999,0.680439829826355,0.0,457.3167419433594,nan,nan,nan
17,5007,31.8,20.08382433701311,-0.005542618688195944,0.6786471605300903,0.0,494.22601318359375,nan,nan,nan
18,5258,25.1,6.685057965343307,-0.014306499622762203,0.674974262714386,0.0,179.99093627929688,nan,nan,nan
19,5607,34.9,25.045758123881974,-0.010650182142853737,0.6763627529144287,0.0,652.088623046875,nan,nan,nan
20,5954,34.7,19.539959058298972,-0.007750185672193766,0.6783758401870728,0.0,505.71875,nan,62.2,20.158372950216
21,6187,23.3,9.59218431849597,-0.03383651748299599,0.6667899489402771,0.0,191.78363037109375,nan,nan,nan
22,6572,38.5,21.280272554645535,-0.005238186102360487,0.6766278743743896,0.0,560.335693359375,nan,nan,nan
23,6890,31.8,13.347658970770867,-0.020911062136292458,0.6713016629219055,0.0,331.7271423339844,nan,nan,nan
