update,env_steps,train_return_mean,train_return_std,policy_loss,entropy,entropy_beta,value_loss,baseline_value,eval_return_mean,eval_return_std
0,180,18.0,6.371812928829597,4.236647129058838,0.6916547417640686,0.0,0.0,18.0,45.2,17.73020022447575
1,480,30.0,12.30447073221762,8.204900741577148,0.6908935904502869,0.0,0.0,30.0,nan,nan
2,791,31.1,13.194316958448436,8.761428833007812,0.6903446316719055,0.0,0.0,31.1,nan,nan
3,1061,27.0,19.385561637466168,13.210977554321289,0.6873741149902344,0.0,0.0,27.0,nan,nan
4,1292,23.1,10.830050784737807,7.279135704040527,0.687950849533081,0.0,0.0,23.1,nan,nan
5,1496,20.4,4.586937976471886,2.8894004821777344,0.686212420463562,0.0,0.0,20.4,41.9,17.874283202411224
6,1801,30.5,15.717824276915684,10.631403923034668,0.6872510313987732,0.0,0.0,30.5,nan,nan
7,2061,26.0,16.13071604114337,10.675619125366211,0.6858983635902405,0.0,0.0,26.0,nan,nan
8,2354,29.3,15.29084693534011,10.0120849609375,0.6864488124847412,0.0,0.0,29.3,nan,nan
9,2559,20.5,7.473285756613352,4.660963535308838,0.6812154650688171,0.0,0.0,20.5,nan,nan
10,2899,34.0,19.944924166313594,13.23573112487793,0.6837049722671509,0.0,0.0,34.0,47.2,13.636715146984628
11,3212,31.3,12.961867149450343,8.37866497039795,0.6837230324745178,0.0,0.0,31.3,nan,nan
12,3462,25.0,10.917875251164945,7.069775581359863,0.6830902695655823,0.0,0.0,25.0,nan,nan
13,3765,30.3,15.29084693534011,9.934707641601562,0.68341064453125,0.0,0.0,30.3,nan,nan
14,4118,35.3,26.416093579482943,17.63933753967285,0.6743160486221313,0.0,0.0,35.3,nan,nan
15,4394,27.6,14.395832730342487,9.39939022064209,0.6740971803665161,0.0,0.0,27.6,69.8,29.93259093362952
16,4736,34.2,11.923086848631105,7.708197116851807,0.6768197417259216,0.0,0.0,34.2,nan,nan
17,5104,36.8,23.83191137949283,15.786601066589355,0.673998236656189,0.0,0.0,36.8,nan,nan
18,5352,24.8,7.547184905645283,4.902674674987793,0.6714563965797424,0.0,0.0,24.8,nan,nan
19,5756,40.4,25.85420662097369,17.036376953125,0.6701228618621826,0.0,0.0,40.4,nan,nan
20,6153,39.7,18.989734068701438,12.197416305541992,0.6769388914108276,0.0,0.0,39.7,68.0,15.588457268119896
21,6538,38.5,12.847178678604887,8.297109603881836,0.6736223697662354,0.0,0.0,38.49999999999999,nan,nan
22,6998,46.0,28.24889378365107,18.55884552001953,0.6703796982765198,0.0,0.0,46.0,nan,nan
23,7255,25.7,15.543809056984713,10.168499946594238,0.658818244934082,0.0,0.0,25.7,nan,nan
24,7652,39.7,22.109047921608926,14.297009468078613,0.6659489870071411,0.0,0.0,39.7,nan,nan
25,8005,35.3,12.578155667664479,8.450922012329102,0.6691650152206421,0.0,0.0,35.3,81.4,49.63305350268105
26,8414,40.9,19.87687098111773,12.649250984191895,0.6767174005508423,0.0,0.0,40.900000000000006,nan,nan
27,8727,31.3,13.791664149043074,8.956523895263672,0.6651511788368225,0.0,0.0,31.3,nan,nan
28,9107,38.0,14.785127662620976,9.471105575561523,0.6677923202514648,0.0,0.0,38.0,nan,nan
29,9506,39.9,22.660317738284252,14.639991760253906,0.6615930795669556,0.0,0.0,39.9,nan,nan
30,9841,33.5,12.57179382586272,7.91239070892334,0.6601597666740417,0.0,0.0,33.49999999999999,75.6,67.37388217996644
31,10273,43.2,17.325126262166172,11.260058403015137,0.653540313243866,0.0,0.0,43.2,nan,nan
32,10567,29.4,13.521834195108294,8.211101531982422,0.6436798572540283,0.0,0.0,29.4,nan,nan
33,10975,40.8,18.24171044611771,11.829832077026367,0.6559739708900452,0.0,0.0,40.8,nan,nan
34,11283,30.8,9.042123644365853,5.811230182647705,0.6670548319816589,0.0,0.0,30.8,nan,nan
35,11679,39.6,13.908270920570967,8.898755073547363,0.6623499989509583,0.0,0.0,39.6,54.6,16.548111674750082
36,12121,44.2,22.05357113938693,13.662859916687012,0.6603637933731079,0.0,0.0,44.2,nan,nan
37,12517,39.6,15.856859714331838,10.005821228027344,0.6578341126441956,0.0,0.0,39.599999999999994,nan,nan
38,12896,37.9,16.114899937635357,11.177841186523438,0.6527845859527588,0.0,0.0,37.9,nan,nan
39,13281,38.5,18.82153022471871,12.213556289672852,0.6497415900230408,0.0,0.0,38.5,nan,nan
40,13843,56.2,23.17671245021606,14.558637619018555,0.6567257046699524,0.0,0.0,56.2,60.0,13.251415018781957
41,14278,43.5,21.07723890835799,13.163019180297852,0.6473031640052795,0.0,0.0,43.5,nan,nan
42,14811,53.3,34.293002201615415,21.665319442749023,0.6482492685317993,0.0,0.0,53.3,nan,nan
43,15219,40.8,20.478281177872326,12.738917350769043,0.6436702013015747,0.0,0.0,40.8,nan,nan
44,15687,46.8,15.419468213917106,9.077606201171875,0.6490366458892822,0.0,0.0,46.800000000000004,nan,nan
45,16105,41.8,15.091719583930786,9.381815910339355,0.6494483947753906,0.0,0.0,41.8,67.0,17.28004629623428
46,16537,43.2,21.562931155109688,13.163236618041992,0.6499723792076111,0.0,0.0,43.2,nan,nan
47,17018,48.1,22.651490017215202,14.327679634094238,0.652372419834137,0.0,0.0,48.1,nan,nan
48,17547,52.9,39.97861928581326,26.098064422607422,0.6409534811973572,0.0,0.0,52.9,nan,nan
49,18193,64.6,34.14439924790008,21.586750030517578,0.6465073823928833,0.0,0.0,64.6,nan,nan
50,18676,48.3,24.10829732685409,15.545005798339844,0.6395444273948669,0.0,0.0,48.3,66.7,16.28526941748278
51,19113,43.7,29.23371341448089,18.20090103149414,0.6384134888648987,0.0,0.0,43.7,nan,nan
52,19727,61.4,31.686590223626144,20.333803176879883,0.6454864740371704,0.0,0.0,61.39999999999999,nan,nan
53,20202,47.5,30.160404506571194,18.232120513916016,0.6503235697746277,0.0,0.0,47.5,nan,nan
54,20747,54.5,22.948856180646562,14.126832962036133,0.6441208124160767,0.0,0.0,54.5,nan,nan
55,21166,41.9,15.82055624812225,9.328414916992188,0.6412206292152405,0.0,0.0,41.89999999999999,137.3,133.48262059159612
56,21620,45.4,21.133859089148864,13.108530044555664,0.6259636282920837,0.0,0.0,45.4,nan,nan
57,22157,53.7,30.97111557564564,19.380239486694336,0.6375768184661865,0.0,0.0,53.7,nan,nan
58,22610,45.3,21.10473880435387,13.87585735321045,0.6252383589744568,0.0,0.0,45.3,nan,nan
59,23080,47.0,23.90397456491284,14.466520309448242,0.6262487769126892,0.0,0.0,47.0,nan,nan
60,23671,59.1,24.496734476252136,16.45269203186035,0.6368587017059326,0.0,0.0,59.1,233.7,158.83201818273292
61,24214,54.3,18.061284561182244,10.097057342529297,0.6370794177055359,0.0,0.0,54.3,nan,nan
62,24718,50.4,27.474351675699282,16.201557159423828,0.6318631172180176,0.0,0.0,50.4,nan,nan
63,25284,56.6,32.33017166672643,19.718191146850586,0.6412456035614014,0.0,0.0,56.59999999999999,nan,nan
64,25837,55.3,41.33049721452671,24.79253578186035,0.6351069808006287,0.0,0.0,55.3,nan,nan
65,26274,43.7,21.48976500569515,12.937829971313477,0.6235213279724121,0.0,0.0,43.7,214.9,141.01024785454425
66,26652,37.8,20.326337594362638,11.915773391723633,0.6179093718528748,0.0,0.0,37.8,nan,nan
67,27163,51.1,24.39446658568291,14.686680793762207,0.6250821948051453,0.0,0.0,51.1,nan,nan
68,27734,57.1,20.11690831116949,11.696361541748047,0.6387308835983276,0.0,0.0,57.1,nan,nan
69,28412,67.8,35.50718237202158,21.953340530395508,0.6288498640060425,0.0,0.0,67.8,nan,nan
70,29005,59.3,25.416726775885206,14.776880264282227,0.6265349388122559,0.0,0.0,59.3,264.9,170.04084803364162
71,29560,55.5,28.77933286231632,16.126333236694336,0.6291099786758423,0.0,0.0,55.5,nan,nan
72,30224,66.4,30.18675206112774,19.330059051513672,0.6179490685462952,0.0,0.0,66.4,nan,nan
73,30896,67.2,32.2422083610909,18.880884170532227,0.6308680176734924,0.0,0.0,67.2,nan,nan
74,31545,64.9,25.73888109456198,16.460115432739258,0.6317143440246582,0.0,0.0,64.9,nan,nan
75,32140,59.5,18.139735389470268,10.88902759552002,0.6225922107696533,0.0,0.0,59.5,275.5,161.41824556102696
76,32654,51.4,36.66387868188525,22.313961029052734,0.6155301332473755,0.0,0.0,51.4,nan,nan
77,33200,54.6,15.576905982896601,10.089300155639648,0.6243799328804016,0.0,0.0,54.6,nan,nan
78,33643,44.3,10.97314904665019,6.1353020668029785,0.6152442693710327,0.0,0.0,44.300000000000004,nan,nan
79,34305,66.2,13.006152390311287,8.405172348022461,0.6257506012916565,0.0,0.0,66.2,nan,nan
80,34899,59.4,28.4682279041039,16.8511905670166,0.6177638173103333,0.0,0.0,59.4,217.2,128.44204918950803
81,35329,43.0,13.076696830622021,6.672106742858887,0.6025876998901367,0.0,0.0,43.00000000000001,nan,nan
82,35903,57.4,18.03995565404749,10.12055778503418,0.6169977188110352,0.0,0.0,57.4,nan,nan
83,36480,57.7,23.242418118603755,13.1076021194458,0.6277482509613037,0.0,0.0,57.7,nan,nan
84,37019,53.9,31.97327008612037,18.97773551940918,0.6038970947265625,0.0,0.0,53.9,nan,nan
85,37586,56.7,20.69806754264755,12.66071891784668,0.6020487546920776,0.0,0.0,56.7,175.8,129.8020030662085
86,38225,63.9,40.1807167681215,25.19296646118164,0.6129558086395264,0.0,0.0,63.9,nan,nan
87,38674,44.9,17.996944185055415,9.85815715789795,0.6116435527801514,0.0,0.0,44.9,nan,nan
88,39229,55.5,30.83585575267857,18.402332305908203,0.6086782813072205,0.0,0.0,55.5,nan,nan
